"ITTER107","Territorio","TIPO_DATO29","Variabile","ATECO_2007","Ateco 2007","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","329","industrie manifatturiere nca","2020","2020",910987,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","453","commercio di parti e accessori di autoveicoli","2020","2020",2563848,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","613","telecomunicazioni satellitari","2020","2020",172814,,
"IT","Italia","12150","valore aggiunto al costo dei fattori (migliaia di euro)","721","ricerca e sviluppo sperimentale nel campo delle scienze naturali e dell'ingegneria","2020","2020",1890137,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","B","estrazione di minerali da cave e miniere","2020","2020",981592,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","R","attività artistiche, sportive, di intrattenimento e divertimento","2020","2020",3064039,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","05","estrazione di carbone (esclusa torba)","2020","2020",0,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","22","fabbricazione di articoli in gomma e materie plastiche","2020","2020",5116134,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","24","metallurgia","2020","2020",3018617,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","47","commercio al dettaglio (escluso quello di autoveicoli e di motocicli)","2020","2020",20546738,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","49","trasporto terrestre e trasporto mediante condotte","2020","2020",8083724,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","50","trasporto marittimo e per vie d'acqua","2020","2020",332933,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","56","attività dei servizi di ristorazione","2020","2020",1313839,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","71","attività degli studi di architettura e d'ingegneria, collaudi ed analisi tecniche","2020","2020",8008964,,
"IT","Italia","12170","margine operativo lordo (migliaia di euro)","105","industria lattiero-casearia","2020","2020",1385851,,
